# gap_worklist.txt - trace-driven-coverage gap-set (GENERATED)
#
# Regenerate: scripts/pcsx-redux/build_gap_worklist.py
# Definition: dumped AND NOT documented AND NOT ignored (port catalog).
# Each row = a not-yet-understood function entry to arm an exec BP on.
#
# A hit in a segment's trace.csv = this function ran in the opening =
# a documentation target. SCUS addresses (0x800xxxxx) are unambiguous;
# overlay addresses (0x801c..0x8020) are VA-aliased - attribute them with
# the trace CSV's first_mode column + the dump_stem here.
#
# Counts: 762 total (161 scus, 601 overlay).
#
# Columns: <0x-addr>  <dump_stem>   # bucket=<b> refs=<n>
0x801d1cf0  overlay_0897_801d1cf0   # bucket=overlay refs=4
0x801d1cfc  overlay_0897_801d1cfc   # bucket=overlay refs=2
0x801d1d9c  overlay_0897_801d1d9c   # bucket=overlay refs=2
0x801d1dac  overlay_menu_801d1dac   # bucket=overlay refs=3
0x801d1ef0  overlay_0897_801d1ef0   # bucket=overlay refs=2
0x801d1f10  overlay_menu_801d1f10   # bucket=overlay refs=3
0x801d2050  overlay_debug_menu_801d2050   # bucket=overlay refs=2
0x801d2094  overlay_battle_action_801d2094   # bucket=overlay refs=3
0x801d21c0  overlay_save_ui_saving_801d21c0   # bucket=overlay refs=5
0x801d2278  overlay_debug_menu_801d2278   # bucket=overlay refs=4
0x801d2298  overlay_cutscene_mapview_801d2298   # bucket=overlay refs=4
0x801d2404  overlay_0897_door_801d2404   # bucket=overlay refs=9
0x801d24ec  overlay_debug_menu_801d24ec   # bucket=overlay refs=4
0x801d2524  overlay_dance_801d2524   # bucket=overlay refs=4
0x801d25ec  overlay_0897_801d25ec   # bucket=overlay refs=14
0x801d2600  overlay_0897_door_raw_801d2298_801d2600   # bucket=overlay refs=0
0x801d261c  overlay_0897_801d261c   # bucket=overlay refs=1
0x801d2774  overlay_0897_801d2774   # bucket=overlay refs=2
0x801d2910  overlay_menu_801d2910   # bucket=overlay refs=5
0x801d2914  overlay_slot_machine_801d2914   # bucket=overlay refs=2
0x801d2958  overlay_0897_801d2958   # bucket=overlay refs=2
0x801d2968  overlay_0897_801d2968   # bucket=overlay refs=2
0x801d2a28  overlay_baka_fighter_801d2a28   # bucket=overlay refs=10
0x801d2d98  overlay_dance_801d2d98   # bucket=overlay refs=2
0x801d30b4  overlay_0896_801d30b4   # bucket=overlay refs=2
0x801d30b8  overlay_0897_801d30b8   # bucket=overlay refs=3
0x801d30f8  overlay_slot_machine_801d30f8   # bucket=overlay refs=2
0x801d3170  overlay_0897_801d3170   # bucket=overlay refs=1
0x801d317c  overlay_slot_machine_801d317c   # bucket=overlay refs=2
0x801d31d8  overlay_0896_801d31d8   # bucket=overlay refs=3
0x801d31ec  overlay_menu_801d31ec   # bucket=overlay refs=3
0x801d3230  overlay_slot_machine_801d3230   # bucket=overlay refs=2
0x801d3290  overlay_0897_801d3290   # bucket=overlay refs=5
0x801d32bc  overlay_magic_capture_801d32bc   # bucket=overlay refs=27
0x801d32c8  overlay_slot_machine_801d32c8   # bucket=overlay refs=2
0x801d3380  overlay_slot_machine_801d3380   # bucket=overlay refs=4
0x801d3390  overlay_baka_fighter_801d3390   # bucket=overlay refs=1
0x801d34a4  overlay_0896_801d34a4   # bucket=overlay refs=2
0x801d3730  801d3730   # bucket=overlay refs=2
0x801d387c  overlay_dance_801d387c   # bucket=overlay refs=1
0x801d3b0c  overlay_0897_801d3b0c   # bucket=overlay refs=2
0x801d3d78  overlay_0897_801d3d78   # bucket=overlay refs=4
0x801d3d84  overlay_0897_801d3d84   # bucket=overlay refs=2
0x801d3db4  overlay_debug_menu_801d3db4   # bucket=overlay refs=7
0x801d3df0  overlay_0897_801d3df0   # bucket=overlay refs=2
0x801d3e28  overlay_dance_801d3e28   # bucket=overlay refs=3
0x801d3f24  overlay_0897_801d3f24   # bucket=overlay refs=4
0x801d4098  overlay_dance_801d4098   # bucket=overlay refs=1
0x801d40dc  overlay_0897_801d40dc   # bucket=overlay refs=4
0x801d414c  overlay_dance_801d414c   # bucket=overlay refs=2
0x801d43ec  overlay_0897_801d43ec   # bucket=overlay refs=12
0x801d4908  overlay_0897_xxx_dat_801d4908   # bucket=overlay refs=4
0x801d4948  overlay_debug_menu_801d4948   # bucket=overlay refs=3
0x801d4a3c  overlay_0896_801d4a3c   # bucket=overlay refs=3
0x801d4a60  overlay_world_map_801d4a60   # bucket=overlay refs=8
0x801d4a80  overlay_menu_801d4a80   # bucket=overlay refs=5
0x801d4ba0  overlay_0897_xxx_dat_801d4ba0   # bucket=overlay refs=3
0x801d4c28  overlay_save_ui_select_801d4c28   # bucket=overlay refs=5
0x801d4fc8  overlay_baka_fighter_801d4fc8   # bucket=overlay refs=1
